title,author,new_author,genre,sub_genre,age_range,rating,publication_year,format,page_count,audio_length,word_count,start_date,end_date,days_to_read,publisher,imprint,author_gender,author_bipoc,tags,standalone,series_start,series_continued,series_finished,queer_characters,queer_rep,cry,review,arc,re_read,subscription,month_read,recommended_by,is_gifted,physical_own,acquired_from
Our Missing Hearts,Celeste Ng,FALSE,Fiction,Dystopian,Adult,4,2022,Audiobook,,9:51:00,,15-Mar,26-Mar,12,Penguin Random House,Penguin Audio,Female,YES,,Standalone,,,,Yes - Side,,,,,,,March,,,TRUE,
Case Study,Graeme Macrae Burnet,TRUE,Fiction,,Adult,4.25,2021,Paperback,288,,,22-Mar,28-Mar,7,Independent,Saraband,Male,,,,,,,Yes - Side,,,,,,,March,,,TRUE,
Sunrise on the Reaping,Suzanne Collins,FALSE,Fiction,Dystopian,Young Adult,4,2025,e-book,382,,,29-Mar,30-Mar,2,Independent,Scholastic Press,Female,,,,,Series Continued,,Yes - Side,,,,,,,March,,,TRUE,
The Adventures of Amina Al-Sirafi,S.A. Chakraborty,TRUE,Fantasy,,Adult,4.5,2023,Paperback,482,,,31-Mar,5-Apr,6,HarperCollins,Harper Voyager,Female,YES,,,Series Start,,,Yes - Main,,,,,,,April,,,TRUE,
Hidden Figures,Margot Lee Shetterly,TRUE,Non-Fiction,,Adult,3.25,2016,Audiobook,,10:47:00,,29-Mar,16-Apr,19,HarperCollins,,Female,YES,,Standalone,,,,No,,,,,,,April,,,FALSE,
Vera Wong's Guide to Snooping (on a Dead Man),Jesse Q. Sutanto,FALSE,Mystery/Thriller,Cozy,Adult,4.25,2025,Paperback,352,,,6-Apr,6-Apr,1,Penguin Random House,Berkley,Female,YES,,,,Series Continued,,No,,,,,,,April,,,TRUE,
Hunger Games,Suzanne Collins,FALSE,Fiction,Dystopian,Young Adult,4,2008,e-book,394,,,6-Apr,8-Apr,3,Independent,Scholastic Press,Female,,,,Series Start,,,No,,,,,,,April,,,FALSE,
Catching Fire,Suzanne Collins,FALSE,Fiction,Dystopian,Young Adult,4.5,2009,e-book,391,,,8-Apr,9-Apr,2,Independent,Scholastic Press,Female,,,,,Series Continued,,No,,,,,,,April,,,FALSE,
Dungeon Crawler Carl,Matt Dinniman,TRUE,Fantasy,,Adult,4.5,2020,e-book,446,,,9-Apr,11-Apr,3,Penguin Random House,Ace,Male,,,,Series Start,,,No,,,,,,,April,,,TRUE,
Carl's Doomsday Scenario,Matt Dinniman,FALSE,Fantasy,,Adult,3.5,2021,e-book,364,,,11-Apr,12-Apr,2,Penguin Random House,Ace,Male,,,,,Series Continued,,No,,,,,,,April,,,TRUE,
